,corpus
971,great product need includ rod kit buy second set rod still enough ill end spend dollar kit terribl factor would get charg town still plastic rod brush attach that overpr someth simpl enough complain overpr get review work great idiot use common sens use alway clockwis alway clockwis cant anymor clear use electr tape duct tape backup case screw number good safeti measur take second per rod wrap tape feed one rod time tape one go dont forc rod get resist drill attach get resist remov drill rod use hand wiggl shift rod get past resist reconnect drill continu like reach resist like one two thing larg bend duct lot blockag number start pull rod without drill attach drill remain attach rememb alway spin clockwis youv probabl hit patch lint clog heavili one area pull rod like pull larg portion lint youv broken loos rod brush attach vacuum blow leaf blower start disconnect rod step take time hand feed rod brush back ensur damag rod youv reach end vent start pull rod way went clockwis catch debri might miss initi clean push brush time total differ side vent sinc short rod use leaf blower time ensur push lint exterior hous never blow leaf blower hous blow outsid hous unless want huge mess hous lastli id recommend use face mask respir mask stuff messi know what grow cheap carpentri mask use better version next time clean fun breath
972,first thing first work kit great consist price right think call someon clean dryer vent got quot way buck abl need invest bit construct vacuum cost buck start save basic second time what brush broke insid vent pull ye use drill piec came except round brush climb attic push side come suppos easi task end spend hour extra climb attic disassembl hvac pipe get push brush anoth minu kit fairli bendi go smoothli flexibl insul pipe like push pipe connector said vent duct doesnt mani bend want take risk mayb defect kit brush broke might save lot money
973,work great use extens kit extra rod clean foot long vent two right angl turn fantast job adapt let put rod attach shop vac got ton lint gallon bucket full insid vent left shini clean good safeti especi long vent surpris dryer actual work quit bit better auto cycl use run dri heavi thing like jean blanket comfort etc fulli dri thing one cycl take less time go auto dri cycl want clean potenti fire hazard realli make big differ run dirti vent vs clean one might due long length vent happi product
974,anyon think problem lint look pictur hous year old came vent even includ clean dryer filter dryer unit product easi use definit suggest tape junction make sure separ vent broke clean clean fist clean brush first extens ensur section clean ad second forth brush came clean given length brush four section found easier anoth set hand guid brush vent set oper drill notic turn dryer back lint dislodg blew outsid vent open unfortun case lodg slat keep vent open fulli close make trip ladder ground dri littl remov piec littl price pay clean vent
975,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
976,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
977,life come year old review dryer vent cleaner sit kitchen tabl wait american idol envis tell much kid think happen sorri burst bubbl said product work great dryer pretti much stop work think need new one serious go eat plastic surgeri budget one last shot trip applianc store gardu linteat husband handi one famili work torn labrum sound dirtier part shoulder clumsiest man world absolut problem use warn read direct first actual listen follow hook drill away went got bunch musti wet lint probabl insid wall sinc probabl consist bell bottom materi macram dryer actual dri cloth continu save facelift thank gardu
978,review gardu rle linteat piec rotari dryer vent clean system weve pay per visit servic guy applianc store come everi month clean flexibl duct that rout less optim manner due locat varieti road block dryer outsid wall knew time come clean cloth dri well right near end realli need clean would actual water floor dryer use vacat day lose recent home first time came watch process thought that research linteat pretti clearli way go made purchas youv got love amazon prime like product weigh number posit review hand bad one bad review like peopl mechan challeng read manual watch youtub video get idea process work pictur twist rod someon one speed high clutch high use clutch drill push impass bend obstruct vent pipe disconnect broke vent pipe rod cant come apart run drill clockwis that simpl physic simpli cant come apart use clockwis brush head broke strip go like twist rod speed high clutch high use clutch drill push impass bend obstruct vent pipe clockwis go back vent tube cordless drill ridgid model r clutch goe switch mark overal speed set clutch four speed one drill hole drive screw go hard fast slow easi win particular race put red loctit thread locker thread attach rotari brush head rod set screw ad section tighten pair plier section wrap electr tape coupl time around join section common sens insur disast femal end rod go drill chuck knurl problem spin chuck slow speed minim torqu probabl issu note think id need extra rod extens came back order get done half insid hous half outsid insid hous vent pipe disconnect dryer use vent insert vent pipe end ridgid hp shop vac clean tool rod provid hole insert work fantast well clean vac filter coupl time due lint outsid hous bother vacuum figur bird would get whatev lint found element would break pretti quickli turn dryer blow loosen lint clean pipe wear googl someth keep lint dust eye go
979,lint eater amaz recent bought hous built previous own older ladi assum dryer vent never clean set dryer want give vent line thorough clean safeti sake help dryer run effici possibl well glad exterior cover vent gone time amount leav pine needl plu lint wad got shock seem like everi time ran linteat line dislodg anoth fist size wad stuff first hook shop vac insid hous went vent exit almost zero air get suck wad huge kept stop shop vac hose keep go insid clean said done vent line free flow work good new glad spent money product help tip start jam rod togeth tri work vent line way unwieldi way everi time hit power drill rod get kink knot flexibl start one one get way vent line add anoth repeat necessari much easier time
980,first contrapt littl confus read direct time felt okay go project fulli confid lot warn make sure drill go right way turn right way lose rod dryer vent scare littl howev project turn realli well lose rod thank got bird nest taken resid dryer vent part lint catcher conveni well actual recommend use least month order clean lint catcher need keep conveni put togeth tape rod time realli use coupl minut howev handi space keep alreadi togeth see would even better keep clean lint
981,great product need includ rod kit buy second set rod still enough ill end spend dollar kit terribl factor would get charg town still plastic rod brush attach that overpr someth simpl enough complain overpr get review work great idiot use common sens use alway clockwis alway clockwis cant anymor clear use electr tape duct tape backup case screw number good safeti measur take second per rod wrap tape feed one rod time tape one go dont forc rod get resist drill attach get resist remov drill rod use hand wiggl shift rod get past resist reconnect drill continu like reach resist like one two thing larg bend duct lot blockag number start pull rod without drill attach drill remain attach rememb alway spin clockwis youv probabl hit patch lint clog heavili one area pull rod like pull larg portion lint youv broken loos rod brush attach vacuum blow leaf blower start disconnect rod step take time hand feed rod brush back ensur damag rod youv reach end vent start pull rod way went clockwis catch debri might miss initi clean push brush time total differ side vent sinc short rod use leaf blower time ensur push lint exterior hous never blow leaf blower hous blow outsid hous unless want huge mess hous lastli id recommend use face mask respir mask stuff messi know what grow cheap carpentri mask use better version next time clean fun breath
982,first thing first work kit great consist price right think call someon clean dryer vent got quot way buck abl need invest bit construct vacuum cost buck start save basic second time what brush broke insid vent pull ye use drill piec came except round brush climb attic push side come suppos easi task end spend hour extra climb attic disassembl hvac pipe get push brush anoth minu kit fairli bendi go smoothli flexibl insul pipe like push pipe connector said vent duct doesnt mani bend want take risk mayb defect kit brush broke might save lot money
983,work great use extens kit extra rod clean foot long vent two right angl turn fantast job adapt let put rod attach shop vac got ton lint gallon bucket full insid vent left shini clean good safeti especi long vent surpris dryer actual work quit bit better auto cycl use run dri heavi thing like jean blanket comfort etc fulli dri thing one cycl take less time go auto dri cycl want clean potenti fire hazard realli make big differ run dirti vent vs clean one might due long length vent happi product
984,anyon think problem lint look pictur hous year old came vent even includ clean dryer filter dryer unit product easi use definit suggest tape junction make sure separ vent broke clean clean fist clean brush first extens ensur section clean ad second forth brush came clean given length brush four section found easier anoth set hand guid brush vent set oper drill notic turn dryer back lint dislodg blew outsid vent open unfortun case lodg slat keep vent open fulli close make trip ladder ground dri littl remov piec littl price pay clean vent
985,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
986,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
987,life come year old review dryer vent cleaner sit kitchen tabl wait american idol envis tell much kid think happen sorri burst bubbl said product work great dryer pretti much stop work think need new one serious go eat plastic surgeri budget one last shot trip applianc store gardu linteat husband handi one famili work torn labrum sound dirtier part shoulder clumsiest man world absolut problem use warn read direct first actual listen follow hook drill away went got bunch musti wet lint probabl insid wall sinc probabl consist bell bottom materi macram dryer actual dri cloth continu save facelift thank gardu
988,review gardu rle linteat piec rotari dryer vent clean system weve pay per visit servic guy applianc store come everi month clean flexibl duct that rout less optim manner due locat varieti road block dryer outsid wall knew time come clean cloth dri well right near end realli need clean would actual water floor dryer use vacat day lose recent home first time came watch process thought that research linteat pretti clearli way go made purchas youv got love amazon prime like product weigh number posit review hand bad one bad review like peopl mechan challeng read manual watch youtub video get idea process work pictur twist rod someon one speed high clutch high use clutch drill push impass bend obstruct vent pipe disconnect broke vent pipe rod cant come apart run drill clockwis that simpl physic simpli cant come apart use clockwis brush head broke strip go like twist rod speed high clutch high use clutch drill push impass bend obstruct vent pipe clockwis go back vent tube cordless drill ridgid model r clutch goe switch mark overal speed set clutch four speed one drill hole drive screw go hard fast slow easi win particular race put red loctit thread locker thread attach rotari brush head rod set screw ad section tighten pair plier section wrap electr tape coupl time around join section common sens insur disast femal end rod go drill chuck knurl problem spin chuck slow speed minim torqu probabl issu note think id need extra rod extens came back order get done half insid hous half outsid insid hous vent pipe disconnect dryer use vent insert vent pipe end ridgid hp shop vac clean tool rod provid hole insert work fantast well clean vac filter coupl time due lint outsid hous bother vacuum figur bird would get whatev lint found element would break pretti quickli turn dryer blow loosen lint clean pipe wear googl someth keep lint dust eye go
989,lint eater amaz recent bought hous built previous own older ladi assum dryer vent never clean set dryer want give vent line thorough clean safeti sake help dryer run effici possibl well glad exterior cover vent gone time amount leav pine needl plu lint wad got shock seem like everi time ran linteat line dislodg anoth fist size wad stuff first hook shop vac insid hous went vent exit almost zero air get suck wad huge kept stop shop vac hose keep go insid clean said done vent line free flow work good new glad spent money product help tip start jam rod togeth tri work vent line way unwieldi way everi time hit power drill rod get kink knot flexibl start one one get way vent line add anoth repeat necessari much easier time
990,first contrapt littl confus read direct time felt okay go project fulli confid lot warn make sure drill go right way turn right way lose rod dryer vent scare littl howev project turn realli well lose rod thank got bird nest taken resid dryer vent part lint catcher conveni well actual recommend use least month order clean lint catcher need keep conveni put togeth tape rod time realli use coupl minut howev handi space keep alreadi togeth see would even better keep clean lint
991,great product need includ rod kit buy second set rod still enough ill end spend dollar kit terribl factor would get charg town still plastic rod brush attach that overpr someth simpl enough complain overpr get review work great idiot use common sens use alway clockwis alway clockwis cant anymor clear use electr tape duct tape backup case screw number good safeti measur take second per rod wrap tape feed one rod time tape one go dont forc rod get resist drill attach get resist remov drill rod use hand wiggl shift rod get past resist reconnect drill continu like reach resist like one two thing larg bend duct lot blockag number start pull rod without drill attach drill remain attach rememb alway spin clockwis youv probabl hit patch lint clog heavili one area pull rod like pull larg portion lint youv broken loos rod brush attach vacuum blow leaf blower start disconnect rod step take time hand feed rod brush back ensur damag rod youv reach end vent start pull rod way went clockwis catch debri might miss initi clean push brush time total differ side vent sinc short rod use leaf blower time ensur push lint exterior hous never blow leaf blower hous blow outsid hous unless want huge mess hous lastli id recommend use face mask respir mask stuff messi know what grow cheap carpentri mask use better version next time clean fun breath
992,first thing first work kit great consist price right think call someon clean dryer vent got quot way buck abl need invest bit construct vacuum cost buck start save basic second time what brush broke insid vent pull ye use drill piec came except round brush climb attic push side come suppos easi task end spend hour extra climb attic disassembl hvac pipe get push brush anoth minu kit fairli bendi go smoothli flexibl insul pipe like push pipe connector said vent duct doesnt mani bend want take risk mayb defect kit brush broke might save lot money
993,work great use extens kit extra rod clean foot long vent two right angl turn fantast job adapt let put rod attach shop vac got ton lint gallon bucket full insid vent left shini clean good safeti especi long vent surpris dryer actual work quit bit better auto cycl use run dri heavi thing like jean blanket comfort etc fulli dri thing one cycl take less time go auto dri cycl want clean potenti fire hazard realli make big differ run dirti vent vs clean one might due long length vent happi product
994,anyon think problem lint look pictur hous year old came vent even includ clean dryer filter dryer unit product easi use definit suggest tape junction make sure separ vent broke clean clean fist clean brush first extens ensur section clean ad second forth brush came clean given length brush four section found easier anoth set hand guid brush vent set oper drill notic turn dryer back lint dislodg blew outsid vent open unfortun case lodg slat keep vent open fulli close make trip ladder ground dri littl remov piec littl price pay clean vent
995,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
996,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
997,life come year old review dryer vent cleaner sit kitchen tabl wait american idol envis tell much kid think happen sorri burst bubbl said product work great dryer pretti much stop work think need new one serious go eat plastic surgeri budget one last shot trip applianc store gardu linteat husband handi one famili work torn labrum sound dirtier part shoulder clumsiest man world absolut problem use warn read direct first actual listen follow hook drill away went got bunch musti wet lint probabl insid wall sinc probabl consist bell bottom materi macram dryer actual dri cloth continu save facelift thank gardu
998,review gardu rle linteat piec rotari dryer vent clean system weve pay per visit servic guy applianc store come everi month clean flexibl duct that rout less optim manner due locat varieti road block dryer outsid wall knew time come clean cloth dri well right near end realli need clean would actual water floor dryer use vacat day lose recent home first time came watch process thought that research linteat pretti clearli way go made purchas youv got love amazon prime like product weigh number posit review hand bad one bad review like peopl mechan challeng read manual watch youtub video get idea process work pictur twist rod someon one speed high clutch high use clutch drill push impass bend obstruct vent pipe disconnect broke vent pipe rod cant come apart run drill clockwis that simpl physic simpli cant come apart use clockwis brush head broke strip go like twist rod speed high clutch high use clutch drill push impass bend obstruct vent pipe clockwis go back vent tube cordless drill ridgid model r clutch goe switch mark overal speed set clutch four speed one drill hole drive screw go hard fast slow easi win particular race put red loctit thread locker thread attach rotari brush head rod set screw ad section tighten pair plier section wrap electr tape coupl time around join section common sens insur disast femal end rod go drill chuck knurl problem spin chuck slow speed minim torqu probabl issu note think id need extra rod extens came back order get done half insid hous half outsid insid hous vent pipe disconnect dryer use vent insert vent pipe end ridgid hp shop vac clean tool rod provid hole insert work fantast well clean vac filter coupl time due lint outsid hous bother vacuum figur bird would get whatev lint found element would break pretti quickli turn dryer blow loosen lint clean pipe wear googl someth keep lint dust eye go
999,lint eater amaz recent bought hous built previous own older ladi assum dryer vent never clean set dryer want give vent line thorough clean safeti sake help dryer run effici possibl well glad exterior cover vent gone time amount leav pine needl plu lint wad got shock seem like everi time ran linteat line dislodg anoth fist size wad stuff first hook shop vac insid hous went vent exit almost zero air get suck wad huge kept stop shop vac hose keep go insid clean said done vent line free flow work good new glad spent money product help tip start jam rod togeth tri work vent line way unwieldi way everi time hit power drill rod get kink knot flexibl start one one get way vent line add anoth repeat necessari much easier time
1000,first contrapt littl confus read direct time felt okay go project fulli confid lot warn make sure drill go right way turn right way lose rod dryer vent scare littl howev project turn realli well lose rod thank got bird nest taken resid dryer vent part lint catcher conveni well actual recommend use least month order clean lint catcher need keep conveni put togeth tape rod time realli use coupl minut howev handi space keep alreadi togeth see would even better keep clean lint
1001,great product need includ rod kit buy second set rod still enough ill end spend dollar kit terribl factor would get charg town still plastic rod brush attach that overpr someth simpl enough complain overpr get review work great idiot use common sens use alway clockwis alway clockwis cant anymor clear use electr tape duct tape backup case screw number good safeti measur take second per rod wrap tape feed one rod time tape one go dont forc rod get resist drill attach get resist remov drill rod use hand wiggl shift rod get past resist reconnect drill continu like reach resist like one two thing larg bend duct lot blockag number start pull rod without drill attach drill remain attach rememb alway spin clockwis youv probabl hit patch lint clog heavili one area pull rod like pull larg portion lint youv broken loos rod brush attach vacuum blow leaf blower start disconnect rod step take time hand feed rod brush back ensur damag rod youv reach end vent start pull rod way went clockwis catch debri might miss initi clean push brush time total differ side vent sinc short rod use leaf blower time ensur push lint exterior hous never blow leaf blower hous blow outsid hous unless want huge mess hous lastli id recommend use face mask respir mask stuff messi know what grow cheap carpentri mask use better version next time clean fun breath
1002,first thing first work kit great consist price right think call someon clean dryer vent got quot way buck abl need invest bit construct vacuum cost buck start save basic second time what brush broke insid vent pull ye use drill piec came except round brush climb attic push side come suppos easi task end spend hour extra climb attic disassembl hvac pipe get push brush anoth minu kit fairli bendi go smoothli flexibl insul pipe like push pipe connector said vent duct doesnt mani bend want take risk mayb defect kit brush broke might save lot money
1003,work great use extens kit extra rod clean foot long vent two right angl turn fantast job adapt let put rod attach shop vac got ton lint gallon bucket full insid vent left shini clean good safeti especi long vent surpris dryer actual work quit bit better auto cycl use run dri heavi thing like jean blanket comfort etc fulli dri thing one cycl take less time go auto dri cycl want clean potenti fire hazard realli make big differ run dirti vent vs clean one might due long length vent happi product
1004,anyon think problem lint look pictur hous year old came vent even includ clean dryer filter dryer unit product easi use definit suggest tape junction make sure separ vent broke clean clean fist clean brush first extens ensur section clean ad second forth brush came clean given length brush four section found easier anoth set hand guid brush vent set oper drill notic turn dryer back lint dislodg blew outsid vent open unfortun case lodg slat keep vent open fulli close make trip ladder ground dri littl remov piec littl price pay clean vent
1005,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
1006,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
1007,life come year old review dryer vent cleaner sit kitchen tabl wait american idol envis tell much kid think happen sorri burst bubbl said product work great dryer pretti much stop work think need new one serious go eat plastic surgeri budget one last shot trip applianc store gardu linteat husband handi one famili work torn labrum sound dirtier part shoulder clumsiest man world absolut problem use warn read direct first actual listen follow hook drill away went got bunch musti wet lint probabl insid wall sinc probabl consist bell bottom materi macram dryer actual dri cloth continu save facelift thank gardu
1008,review gardu rle linteat piec rotari dryer vent clean system weve pay per visit servic guy applianc store come everi month clean flexibl duct that rout less optim manner due locat varieti road block dryer outsid wall knew time come clean cloth dri well right near end realli need clean would actual water floor dryer use vacat day lose recent home first time came watch process thought that research linteat pretti clearli way go made purchas youv got love amazon prime like product weigh number posit review hand bad one bad review like peopl mechan challeng read manual watch youtub video get idea process work pictur twist rod someon one speed high clutch high use clutch drill push impass bend obstruct vent pipe disconnect broke vent pipe rod cant come apart run drill clockwis that simpl physic simpli cant come apart use clockwis brush head broke strip go like twist rod speed high clutch high use clutch drill push impass bend obstruct vent pipe clockwis go back vent tube cordless drill ridgid model r clutch goe switch mark overal speed set clutch four speed one drill hole drive screw go hard fast slow easi win particular race put red loctit thread locker thread attach rotari brush head rod set screw ad section tighten pair plier section wrap electr tape coupl time around join section common sens insur disast femal end rod go drill chuck knurl problem spin chuck slow speed minim torqu probabl issu note think id need extra rod extens came back order get done half insid hous half outsid insid hous vent pipe disconnect dryer use vent insert vent pipe end ridgid hp shop vac clean tool rod provid hole insert work fantast well clean vac filter coupl time due lint outsid hous bother vacuum figur bird would get whatev lint found element would break pretti quickli turn dryer blow loosen lint clean pipe wear googl someth keep lint dust eye go
1009,lint eater amaz recent bought hous built previous own older ladi assum dryer vent never clean set dryer want give vent line thorough clean safeti sake help dryer run effici possibl well glad exterior cover vent gone time amount leav pine needl plu lint wad got shock seem like everi time ran linteat line dislodg anoth fist size wad stuff first hook shop vac insid hous went vent exit almost zero air get suck wad huge kept stop shop vac hose keep go insid clean said done vent line free flow work good new glad spent money product help tip start jam rod togeth tri work vent line way unwieldi way everi time hit power drill rod get kink knot flexibl start one one get way vent line add anoth repeat necessari much easier time
1010,first contrapt littl confus read direct time felt okay go project fulli confid lot warn make sure drill go right way turn right way lose rod dryer vent scare littl howev project turn realli well lose rod thank got bird nest taken resid dryer vent part lint catcher conveni well actual recommend use least month order clean lint catcher need keep conveni put togeth tape rod time realli use coupl minut howev handi space keep alreadi togeth see would even better keep clean lint
1011,great product need includ rod kit buy second set rod still enough ill end spend dollar kit terribl factor would get charg town still plastic rod brush attach that overpr someth simpl enough complain overpr get review work great idiot use common sens use alway clockwis alway clockwis cant anymor clear use electr tape duct tape backup case screw number good safeti measur take second per rod wrap tape feed one rod time tape one go dont forc rod get resist drill attach get resist remov drill rod use hand wiggl shift rod get past resist reconnect drill continu like reach resist like one two thing larg bend duct lot blockag number start pull rod without drill attach drill remain attach rememb alway spin clockwis youv probabl hit patch lint clog heavili one area pull rod like pull larg portion lint youv broken loos rod brush attach vacuum blow leaf blower start disconnect rod step take time hand feed rod brush back ensur damag rod youv reach end vent start pull rod way went clockwis catch debri might miss initi clean push brush time total differ side vent sinc short rod use leaf blower time ensur push lint exterior hous never blow leaf blower hous blow outsid hous unless want huge mess hous lastli id recommend use face mask respir mask stuff messi know what grow cheap carpentri mask use better version next time clean fun breath
1012,first thing first work kit great consist price right think call someon clean dryer vent got quot way buck abl need invest bit construct vacuum cost buck start save basic second time what brush broke insid vent pull ye use drill piec came except round brush climb attic push side come suppos easi task end spend hour extra climb attic disassembl hvac pipe get push brush anoth minu kit fairli bendi go smoothli flexibl insul pipe like push pipe connector said vent duct doesnt mani bend want take risk mayb defect kit brush broke might save lot money
1013,work great use extens kit extra rod clean foot long vent two right angl turn fantast job adapt let put rod attach shop vac got ton lint gallon bucket full insid vent left shini clean good safeti especi long vent surpris dryer actual work quit bit better auto cycl use run dri heavi thing like jean blanket comfort etc fulli dri thing one cycl take less time go auto dri cycl want clean potenti fire hazard realli make big differ run dirti vent vs clean one might due long length vent happi product
1014,anyon think problem lint look pictur hous year old came vent even includ clean dryer filter dryer unit product easi use definit suggest tape junction make sure separ vent broke clean clean fist clean brush first extens ensur section clean ad second forth brush came clean given length brush four section found easier anoth set hand guid brush vent set oper drill notic turn dryer back lint dislodg blew outsid vent open unfortun case lodg slat keep vent open fulli close make trip ladder ground dri littl remov piec littl price pay clean vent
1015,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
1016,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
1017,life come year old review dryer vent cleaner sit kitchen tabl wait american idol envis tell much kid think happen sorri burst bubbl said product work great dryer pretti much stop work think need new one serious go eat plastic surgeri budget one last shot trip applianc store gardu linteat husband handi one famili work torn labrum sound dirtier part shoulder clumsiest man world absolut problem use warn read direct first actual listen follow hook drill away went got bunch musti wet lint probabl insid wall sinc probabl consist bell bottom materi macram dryer actual dri cloth continu save facelift thank gardu
1018,review gardu rle linteat piec rotari dryer vent clean system weve pay per visit servic guy applianc store come everi month clean flexibl duct that rout less optim manner due locat varieti road block dryer outsid wall knew time come clean cloth dri well right near end realli need clean would actual water floor dryer use vacat day lose recent home first time came watch process thought that research linteat pretti clearli way go made purchas youv got love amazon prime like product weigh number posit review hand bad one bad review like peopl mechan challeng read manual watch youtub video get idea process work pictur twist rod someon one speed high clutch high use clutch drill push impass bend obstruct vent pipe disconnect broke vent pipe rod cant come apart run drill clockwis that simpl physic simpli cant come apart use clockwis brush head broke strip go like twist rod speed high clutch high use clutch drill push impass bend obstruct vent pipe clockwis go back vent tube cordless drill ridgid model r clutch goe switch mark overal speed set clutch four speed one drill hole drive screw go hard fast slow easi win particular race put red loctit thread locker thread attach rotari brush head rod set screw ad section tighten pair plier section wrap electr tape coupl time around join section common sens insur disast femal end rod go drill chuck knurl problem spin chuck slow speed minim torqu probabl issu note think id need extra rod extens came back order get done half insid hous half outsid insid hous vent pipe disconnect dryer use vent insert vent pipe end ridgid hp shop vac clean tool rod provid hole insert work fantast well clean vac filter coupl time due lint outsid hous bother vacuum figur bird would get whatev lint found element would break pretti quickli turn dryer blow loosen lint clean pipe wear googl someth keep lint dust eye go
